image,word,confidence
page_001.png,তনতা,34.0
page_001.png,তা,0.0
page_001.png,লা,94.0
page_001.png,বৌ,65.0
page_002.png,গুস্তাভলাব,78.0
page_002.png,জনতা,40.0
page_002.png,অনুবাদ,96.0
page_002.png,নুর,89.0
page_002.png,মোহাম্মদ,65.0
page_002.png,মিঞ৷,38.0
page_002.png,বাংলা,95.0
page_002.png,একাডেমী,96.0
page_002.png,ঢাকা,92.0
page_002.png,৬%/.080738081.0017,0.0
page_003.png,প্রথম,96.0
page_003.png,প্রকাশ,95.0
page_003.png,আষাঢ়,16.0
page_003.png,২৩৯১,77.0
page_003.png,জুন,75.0
page_003.png,১৯৮৪,93.0
page_003.png,বাএ,42.0
page_003.png,১৪৬৪,96.0
page_003.png,মুদ্রণ,80.0
page_003.png,সংখ্যা,95.0
page_003.png,১২৫০,96.0
page_003.png,পাও়্‌লিপি,21.0
page_003.png,ভাষা,95.0
page_003.png,সাহিত্য,93.0
page_003.png,উপবিভাগ/৩৫/৮৩-'৮৪,36.0
page_003.png,প্রকাশক,96.0
page_003.png,বশীর,93.0
page_003.png,আলহেলাল,89.0
page_003.png,পরিচালক,73.0
page_003.png,ভাষা,52.0
page_003.png,সাহিত্য,88.0
page_003.png,"সংস্ক,তি",51.0
page_003.png,ও,96.0
page_003.png,পত্রিকা,10.0
page_003.png,বিভাগ,96.0
page_003.png,বাংলা,95.0
page_003.png,একাডেমী,95.0
page_003.png,ঢাকা,94.0
page_003.png,মুদ্রক,78.0
page_003.png,"জলসি""ড়ি",42.0
page_003.png,মুদ্রায়ণ,84.0
page_003.png,পাটুয়াটুলি,28.0
page_003.png,ঢাকা,95.0
page_003.png,সলিমাবাদ,90.0
page_003.png,প্রেস,90.0
page_003.png,২১/৩,91.0
page_003.png,কোট'/হাউস,25.0
page_003.png,ফ্টরট,31.0
page_003.png,ঢাকা,95.0
page_003.png,বাংলাদেশ,95.0
page_003.png,প্রচ্ছদ,92.0
